"location","acute_time","acute_care_transit_location","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Agnes Water",406,"Bundaberg Hospital","Brisbane (PAH/RBWH)",1202,151.9008,-24.21017,"Sunshine Coast University Hospital","Brain Injury Rehabilitation Unit",299.6941
"Airlie Beach",216,"Proserpine Hospital","Townsville University Hospital",1125,148.7132,-20.26829,"Townsville University Hospital","Townsville University Hospital",187.9391187
"Aldershot",363,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1242,152.6613,-25.46311,"Sunshine Coast University Hospital","Brain Injury Rehabilitation Unit",150.797668815
"Alice River",53,NA,"Townsville University Hospital",1109,146.6023,-19.32778,"Townsville University Hospital","Townsville University Hospital",16.00790769
"Alligator Creek",72,NA,"Townsville University Hospital",1112,146.9432,-19.42302,"Townsville University Hospital","Townsville University Hospital",23.91320446
"Allingham",163,"Ingham Hospital","Townsville University Hospital",1093,146.2953,-18.70771,"Townsville University Hospital","Townsville University Hospital",87.7786455
"Allora",313,"Toowoomba Hospital","Brisbane (PAH/RBWH)",1419,151.982,-28.03472,"Princess Alexandra Hospital (PAH)","Brain Injury Rehabilitation Unit",109.27837318
"Alpha",401,"Alpha Hospital","Brisbane (PAH/RBWH)",1189,146.6387,-23.65028,"Townsville University Hospital","Brain Injury Rehabilitation Unit",581.9565091
"Alva Beach",144,NA,"Townsville University Hospital",1113,147.4799,-19.45506,"Townsville University Hospital","Townsville University Hospital",75.38588839
"Amamoor",145,NA,"Brisbane (PAH/RBWH)",1275,152.6748,-26.34607,"Sunshine Coast University Hospital","Brain Injury Rehabilitation Unit",80.768988825
"Amity Point",120,NA,"Brisbane (PAH/RBWH)",1344,153.44,-27.39664,"Princess Alexandra Hospital (PAH)","Brain Injury Rehabilitation Unit",98.73954695
"Apple Tree Creek",453,"Bundaberg Hospital","Brisbane (PAH/RBWH)",1229,152.2338,-25.22391,"Sunshine Coast University Hospital","Brain Injury Rehabilitation Unit",185.95776003
"Aramac",401,"Barcaldine Hospital","Brisbane (PAH/RBWH)",1167,145.2439,-22.9698,"Townsville University Hospital","Brain Injury Rehabilitation Unit",678.07094497
