"location","x","y","acute_time","acute_care_centre","rehab_time","rehab_centre"
"Boigu Island",142.2153,-9.260192,433,"Townsville Hospital",1020,"Cairns Hospital "
"Saibai Island",142.6217,-9.38044,431,"Townsville Hospital",1020,"Cairns Hospital "
"Erub (Darnley) Island",143.7703,-9.585443,467,"Townsville Hospital",1090,"Cairns Hospital "
"Yorke Island",143.4073,-9.750172,443,"Townsville Hospital",1050,"Cairns Hospital "
"Iama (Yam) Island",142.7744,-9.900403,406,"Townsville Hospital",970,"Cairns Hospital "
"Mer (Murray) Island",144.0504,-9.918105,474,"Townsville Hospital",1090,"Cairns Hospital "
"Mabuiag Island",142.1829,-9.95718,389,"Townsville Hospital",970,"Cairns Hospital "
"Badu Island",142.1388,-10.12322,380,"Townsville Hospital",930,"Cairns Hospital "
"St Pauls",142.3349,-10.18488,376,"Townsville Hospital",930,"Cairns Hospital "
"Warraber Island",142.8238,-10.20726,396,"Townsville Hospital",930,"Cairns Hospital "
"Hammond Island",142.2047,-10.54803,351,"Townsville Hospital",880,"Cairns Hospital "
"Thursday Island",142.2167,-10.5804,294,"Townsville Hospital",868,"Cairns Hospital "
"Horn Island",142.2837,-10.60644,354,"Townsville Hospital",883,"Cairns Hospital "
"Seisia",142.3701,-10.85188,372,"Townsville Hospital",733,"Cairns Hospital "
"New Mapoon",142.3863,-10.87403,372,"Townsville Hospital",729,"Cairns Hospital "
"Umagico",142.3489,-10.88916,372,"Townsville Hospital",726,"Cairns Hospital "
"Bamaga",142.3893,-10.89279,372,"Townsville Hospital",728,"Cairns Hospital "
"Injinoo",142.3275,-10.90209,372,"Townsville Hospital",723,"Cairns Hospital "
"Mapoon",141.8976,-12.02178,354,"Townsville Hospital",659,"Cairns Hospital "
"Weipa",141.8777,-12.62496,336,"Townsville Hospital",600,"Cairns Hospital "
"Napranum",141.8909,-12.68153,336,"Townsville Hospital",591,"Cairns Hospital "
"Lockhart River",143.3424,-12.78591,312,"Townsville Hospital",641,"Cairns Hospital "
"Aurukun",141.7292,-13.35609,324,"Townsville Hospital",593,"Cairns Hospital "
