"location","acute_time","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Wallangarra",195,"Brain Injury Rehabilitation Unit",1437,151.9262,-28.92345,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",176.54359463
"Texas",195,"Brain Injury Rehabilitation Unit",1436,151.1692,-28.85306,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",203.98724218
"Smithfield",183,"Townsville University Hospital",1435,145.690172,-16.83142,"Cairns Hospital","Townsville University Hospital",134.222506395
"Johnstone",345,"Brain Injury Rehabilitation Unit",1434,148.5382,-28.6787,"Roma Hospital","Brain Injury Rehabilitation Unit",275.520494745
"Stanthorpe",170,"Brain Injury Rehabilitation Unit",1433,151.9327,-28.65779,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",152.3265671
"Dirranbandi",345,"Brain Injury Rehabilitation Unit",1432,148.2271,-28.5841,"Roma Hospital","Brain Injury Rehabilitation Unit",279.19051503
"Yelarbon",216,"Brain Injury Rehabilitation Unit",1431,150.7524,-28.57416,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",206.27735905
"Goondiwindi",216,"Brain Injury Rehabilitation Unit",1430,150.3062,-28.54799,"Roma Hospital","Brain Injury Rehabilitation Unit",224.35145201
"Inglewood",183,"Brain Injury Rehabilitation Unit",1429,151.0795,-28.41751,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",179.77983077
"Killarney",149,"Brain Injury Rehabilitation Unit",1141,152.2963,-28.33305,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",125.95798438
"Warwick",149,"Brain Injury Rehabilitation Unit",1428,152.0311,-28.21745,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",110.69038149
"Rathdowney",137,"Brain Injury Rehabilitation Unit",1427,152.8635,-28.20976,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",81.427456205
"Yangan",149,"Brain Injury Rehabilitation Unit",1426,152.2107,-28.19552,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",110.32258503
"Springbrook",15,"Brain Injury Rehabilitation Unit",1425,153.2644,-28.18766,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",61.89129285
"Beechmont",53,"Brain Injury Rehabilitation Unit",1424,153.206,-28.09893,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",54.59096696
"Kooralbyn",128,"Brain Injury Rehabilitation Unit",1423,152.8443,-28.08068,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",77.492981145
"Cunnamulla",351,"Brain Injury Rehabilitation Unit",1422,145.6832,-28.06921,"Roma Hospital","Brain Injury Rehabilitation Unit",402.227548
"Lower Beechmont",40,"Brain Injury Rehabilitation Unit",1421,153.2516,-28.04105,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",41.49187337
"St George",286,"Brain Injury Rehabilitation Unit",1420,148.5812,-28.03888,"Roma Hospital","Brain Injury Rehabilitation Unit",226.61313207
"Allora",170,"Brain Injury Rehabilitation Unit",1419,151.982,-28.03472,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",109.27837318
"Canungra",48,"Brain Injury Rehabilitation Unit",1418,153.1598,-28.01415,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",47.86985817
"Boonah",129,"Brain Injury Rehabilitation Unit",1417,152.6824,-27.9978,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",61.17967837
"Thargomindah",375,"Brain Injury Rehabilitation Unit",1416,143.8229,-27.99583,"Roma Hospital","Brain Injury Rehabilitation Unit",528.71196751
"Gold Coast",26,"Brain Injury Rehabilitation Unit",1415,153.4277,-27.99114,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",32.35222577
"Beaudesert",75,"Brain Injury Rehabilitation Unit",1414,152.9992,-27.98632,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",58.86948468
"Aratula",77,"Brain Injury Rehabilitation Unit",1413,152.5384,-27.98409,"Brain Injury Rehabilitation Unit","Brain Injury Rehabilitation Unit",62.0275709
"Mount Nathan",38,"Brain Injury Rehabilitation Unit",1412,153.2639,-27.97678,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",36.71769324
"Mount Tamborine",45,"Brain Injury Rehabilitation Unit",1411,153.2014,-27.97114,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",43.067508305
"Boyland",55,"Brain Injury Rehabilitation Unit",1410,153.1642,-27.94939,"Gold Coast University Hospital","Brain Injury Rehabilitation Unit",46.66859482
