"id","town_name","x","y","silver_rehab_centre","silver_time","gold_rehab_centre","gold_time","future_gold_rehab_centre","future_gold_time","platinum_rehab_centre","platinum_time"
1012,"Thursday Island",142.2167,-10.5804,"Cairns Hospital",873.73784637,"Townsville University Hospital",1080.819326,"Townsville University Hospital",1080.819326,"Princess Alexandra Hospital (PAH)",1957.4509899
1013,"Horn Island",142.2837,-10.60644,"Cairns Hospital",888.58825539,"Townsville University Hospital",1095.321749,"Townsville University Hospital",1095.321749,"Princess Alexandra Hospital (PAH)",1972.23410399
1014,"Seisia",142.3701,-10.85188,"Cairns Hospital",739.34323652,"Townsville University Hospital",944.9550912,"Townsville University Hospital",944.9550912,"Princess Alexandra Hospital (PAH)",1821.14992244
1015,"New Mapoon",142.3863,-10.87403,"Cairns Hospital",735.78322613,"Townsville University Hospital",941.3848819,"Townsville University Hospital",941.3848819,"Princess Alexandra Hospital (PAH)",1817.64525219
1016,"Umagico",142.3489,-10.88916,"Cairns Hospital",733.20149373,"Townsville University Hospital",938.6512743,"Townsville University Hospital",938.6512743,"Princess Alexandra Hospital (PAH)",1815.02391269
1017,"Bamaga",142.3893,-10.89279,"Cairns Hospital",734.48771979,"Townsville University Hospital",939.7901949,"Townsville University Hospital",939.7901949,"Princess Alexandra Hospital (PAH)",1816.10660672
1018,"Injinoo",142.3275,-10.90209,"Cairns Hospital",730.19752794,"Townsville University Hospital",934.9848422,"Townsville University Hospital",934.9848422,"Princess Alexandra Hospital (PAH)",1811.45060579
1019,"Mapoon",141.8976,-12.02178,"Cairns Hospital",664.63314348,"Townsville University Hospital",872.1839014,"Townsville University Hospital",872.1839014,"Princess Alexandra Hospital (PAH)",1749.37298566
1020,"Weipa",141.8777,-12.62496,"Cairns Hospital",611.68474064,"Townsville University Hospital",814.4198158,"Townsville University Hospital",814.4198158,"Princess Alexandra Hospital (PAH)",1690.62694434
1021,"Napranum",141.8909,-12.68153,"Cairns Hospital",607.41266573,"Townsville University Hospital",805.6318151,"Townsville University Hospital",805.6318151,"Princess Alexandra Hospital (PAH)",1681.84809847
1022,"Lockhart River",143.3424,-12.78591,"Cairns Hospital",643.82952715,"Townsville University Hospital",854.0944546,"Townsville University Hospital",854.0944546,"Princess Alexandra Hospital (PAH)",1731.26337647
1023,"Aurukun",141.7292,-13.35609,"Cairns Hospital",605.97413664,"Townsville University Hospital",806.3140301,"Townsville University Hospital",806.3140301,"Princess Alexandra Hospital (PAH)",1682.51913632
1024,"Coen",143.1999,-13.9448,"Cairns Hospital",404.60419265,"Townsville University Hospital",629.7689944,"Townsville University Hospital",629.7689944,"Princess Alexandra Hospital (PAH)",1500.59826929
1025,"Pormpuraaw",141.6245,-14.89198,"Cairns Hospital",437.33350111,"Townsville University Hospital",654.0187141,"Townsville University Hospital",654.0187141,"Princess Alexandra Hospital (PAH)",1525.37306656
1026,"Hope Vale",145.1102,-15.2971,"Cairns Hospital",266.02858681,"Townsville University Hospital",479.0571065,"Townsville University Hospital",479.0571065,"Princess Alexandra Hospital (PAH)",1346.39961692
1027,"Cooktown",145.2488,-15.47177,"Cairns Hospital",229.19252023,"Townsville University Hospital",442.1620646,"Townsville University Hospital",442.1620646,"Princess Alexandra Hospital (PAH)",1309.75280035
1028,"Kowanyama",141.7435,-15.47744,"Cairns Hospital",732.78051779,"Townsville University Hospital",796.2775668,"Townsville University Hospital",796.2775668,"Princess Alexandra Hospital (PAH)",1583.43227858
1029,"Wujal Wujal",145.3188,-15.94835,"Cairns Hospital",148.87468558,"Townsville University Hospital",385.3392704,"Townsville University Hospital",385.3392704,"Princess Alexandra Hospital (PAH)",1254.8089556
1030,"Daintree",145.3306,-16.26079,"Cairns Hospital",91.95432005,"Townsville University Hospital",328.136468,"Townsville University Hospital",328.136468,"Princess Alexandra Hospital (PAH)",1198.58360111
1031,"Wonga Beach",145.4137,-16.3472,"Cairns Hospital",80.47914755,"Townsville University Hospital",316.3687394,"Townsville University Hospital",316.3687394,"Princess Alexandra Hospital (PAH)",1186.95170201
1032,"Newell",145.4061,-16.425,"Cairns Hospital",72.90884798,"Townsville University Hospital",308.6479163,"Townsville University Hospital",308.6479163,"Princess Alexandra Hospital (PAH)",1179.34685493
1033,"Cooya Beach",145.4067,-16.44813,"Cairns Hospital",65.7158131,"Townsville University Hospital",301.5280252,"Townsville University Hospital",301.5280252,"Princess Alexandra Hospital (PAH)",1172.32656331
1034,"Mossman",145.3731,-16.46155,"Cairns Hospital",66.60073186,"Townsville University Hospital",302.5625889,"Townsville University Hospital",302.5625889,"Princess Alexandra Hospital (PAH)",1173.30366036
1035,"Port Douglas",145.4662,-16.48533,"Cairns Hospital",61.58309117,"Townsville University Hospital",297.4971385,"Townsville University Hospital",297.4971385,"Princess Alexandra Hospital (PAH)",1168.39880264
1036,"Craiglie",145.467,-16.51455,"Cairns Hospital",58.80144742,"Townsville University Hospital",294.6217099,"Townsville University Hospital",294.6217099,"Princess Alexandra Hospital (PAH)",1165.59447591
1037,"Oak Beach",145.5147,-16.5941,"Cairns Hospital",48.62260008,"Townsville University Hospital",284.1524671,"Townsville University Hospital",284.1524671,"Princess Alexandra Hospital (PAH)",1155.16498829
