"SA2_MAIN16","SA2_NAME16"
"399999499","No usual address (Qld)"
"318021489","Townsville - South"
"315031408","Barcaldine - Blackall"
"306051166","Atherton"
"306051169","Malanda - Yungaburra"
"315011395","Aurukun"
"315011402","Torres Strait Islands"
"315011401","Torres"
"307011171","Balonne"
"315011399","Northern Peninsula"
"308041528","Banana"
"308041529","Biloela"
"315031410","Far Central West"
"308011191","Central Highlands - West"
"311041321","Jimboomba"
"311031318","Munruben - Park Ridge South"
"311041320","Greenbank"
"311031313","Chambers Flat - Logan Reserve"
"311041322","Logan Village"
"309041242","Tamborine - Canungra"
"311011305","Beaudesert"
"310021277","Boonah"
"312011339","Clermont"
"312011341","Moranbah"
"307011177","Roma Region"
"319021503","Gayndah - Mundubbera"
"312011337","Bowen"
"312011340","Collinsville"
"303051076","Rocklea - Acacia Ridge"
"305031119","Albion"
"305031120","Alderley"
"303051072","Algester"
"303051073","Calamvale - Stretton"
"303021052","Annerley"
"304021091","Pinjarra Hills - Pullenvale"
"305031121","Ascot"
"305031122","Clayfield"
"305041132","Ashgrove"
"302021027","Aspley"
"302011022","Bald Hills"
"302041041","Bracken Ridge"
"302011023","Bridgeman Downs"
"305021113","Balmoral"
"302031039","Nudgee - Banyo"
"305041134","Bardon"
"304021086","Bellbowrie - Moggill"
"301011002","Belmont - Gumdale"
"303031064","Rochedale - Burbank"
"302031035","Boondall"
"305031128","Newstead - Bowen Hills"
"302041042","Brighton (Qld)"
"304021087","Brookfield - Kenmore Hills"
"304041099","Enoggera Reservoir"
"305021114","Bulimba"
"305021116","Hawthorne"
"303011047","Camp Hill"
"305021117","Morningside - Seven Hills"
"303011048","Cannon Hill"
"301031017","Murarrie"
"303011051","Carindale"
"303011049","Carina"
"303011050","Carina Heights"
"302011024","Carseldine"
"304021088","Chapel Hill"
"304031092","Chelmer - Graceville"
"302021028","Chermside"
"302021029","Chermside West"
"305011105","Brisbane City"
"303041067","Coopers Plains"
"303021053","Coorparoo"
"304031093","Corinda"
"310011271","Darra - Sumner"
"302041043","Deagon"
"310011273","Forest Lake - Doolandella"
"310011272","Durack"
"303021054","Fairfield - Dutton Park"
"305021115","East Brisbane"
"303021058","Woolloongabba"
"303031060","Eight Mile Plains"
"304041098","Enoggera"
"302011025","Everton Park"
"304041104","Upper Kedron - Ferny Grove"
"304021089","Fig Tree Pocket"
"305011106","Fortitude Valley"
"305011109","New Farm"
"302021030","Geebung"
"305031123","Grange"
"303021055","Greenslopes"
"305031124","Hamilton (Qld)"
"302031037","Eagle Farm - Pinkenba"
"301031014","Brisbane Port - Lytton"
"301031021","Wynnum West - Hemmant"
"305031125","Hendra"
"305031126","Kelvin Grove - Herston"
"305011107","Highgate Hill"
"303021056","Holland Park"
"303021057","Holland Park West"
"310011274","Inala - Richlands"
"304031094","Indooroopilly"
"304011082","Middle Park - Jamboree Heights"
"304011081","Jindalee - Mount Ommaney"
"305011108","Kangaroo Point"
"310021279","Lake Manchester - England Creek"
"310031290","Karana Downs"
"310031288","Ipswich - North"
"302021031","Kedron - Gordon Park"
"305031127","Newmarket"
"304021090","Kenmore"
"304041100","Keperra"
"303061077","Kuraby"
"301031015","Manly - Lota"
"305031131","Wooloowin - Lutwyche"
"302011026","McDowall"
"303031061","Macgregor (Qld)"
"301031016","Manly West"
"303031062","Mansfield (Qld)"
"305041135","Paddington - Milton"
"304041101","Mitchelton"
"303041068","Moorooka"
"303041071","Tarragindi"
"313051542","Scarborough - Newport - Moreton Island"
"305021118","Norman Park"
"303031063","Mount Gravatt"
"303041070","Salisbury - Nathan"
"305031129","Wilston"
"302031038","Northgate - Virginia"
"302031040","Nundah"
"310011275","Oxley (Qld)"
"303051074","Pallara - Willawong"
"303051075","Parkinson - Drewvale"
"302031036","Brisbane Airport"
"305041136","Red Hill (Qld)"
"304011083","Riverhills"
"303041069","Robertson"
"303021059","Yeronga"
"303061078","Runcorn"
"304031096","St Lucia"
"302041044","Sandgate - Shorncliffe"
"304011084","Seventeen Mile Rocks - Sinnamon Park"
"304031095","Sherwood"
"305011110","South Brisbane"
"305011111","Spring Hill"
"302021032","Stafford"
"302021033","Stafford Heights"
"303061079","Sunnybank"
"303061080","Sunnybank Hills"
"302041045","Taigum - Fitzgibbon"
"304031097","Taringa"
"304041103","The Gap"
"301031018","Tingalpa"
"305041137","Toowong"
"305041133","Auchenflower"
"303031065","Upper Mount Gravatt"
"310011276","Wacol"
"301031019","Wakerley"
"302021034","Wavell Heights"
"305011112","West End"
"304011085","Westlake"
"305031130","Windsor"
"303031066","Wishart"
"301031020","Wynnum"
"302041046","Zillmere"
"312011338","Broadsound - Nebo"
"315031411","Far South West"
"319011495","Bundaberg"
"319011501","Svensson Heights - Norville"
"319011500","Millbank - Avoca"
"319011502","Walkervale - Avenell Heights"
"319011496","Bundaberg East - Kalkie"
"319011494","Branyan - Kensington"
"319011497","Bundaberg North - Gooburrum"
"319011492","Ashfield - Kepnock"
"318011461","Burdekin"
"318011460","Ayr"
"315021404","Carpentaria"
"319011493","Bargara - Burnett Heads"
"319011499","Bundaberg Region - South"
"319011498","Bundaberg Region - North"
"313011363","Bribie Island"
"316061441","Glass House Mountains"
"313041375","Narangba"
"313041372","Burpengary"
"313041374","Morayfield"
"313021365","Caboolture"
"313011362","Beachmere - Sandstone Point"
"313021366","Caboolture - South"
"313021364","Burpengary - East"
"313031371","Woodford - D'Aguilar"
"313021369","Wamuran"
"313021367","Elimbah"
"313041376","Upper Caboolture"
"313041373","Deception Bay"
"313021368","Morayfield - East"
"306011141","Redlynch"
"306011138","Brinsmead"
"306011143","Yorkeys Knob - Machans Beach"
"306011142","Trinity Beach - Smithfield"
"306021150","Lamb Range"
"306021149","Kanimbla - Mooroobool"
"306021152","Manunda"
"306021154","Westcourt - Bungalow"
"306021156","Whitfield - Edge Hill"
"306021151","Manoora"
"306021145","Cairns City"
"306011140","Freshwater - Stratford"
"306011139","Clifton Beach - Kewarra Beach"
"306021153","Mount Sheridan"
"306021144","Bentley Park"
"306021147","Edmonton"
"306021157","Woree"
"306021148","Gordonvale - Trinity"
"306021155","White Rock"
"306021146","Earlville - Bayview Heights"
"306031158","Babinda"
"308051531","Boyne Island - Tannum Sands"
"308051535","Gladstone Hinterland"
"316021417","Aroona - Currimundi"
"316021422","Moffat Beach - Battery Hill"
"316021419","Caloundra - Kings Beach"
"316021420","Caloundra - West"
"316061439","Beerwah"
"316021421","Golden Beach - Pelican Waters"
"316021418","Buddina - Minyama"
"316021424","Wurtulla - Birtinya"
"316021423","Parrearra - Warana"
"316061442","Landsborough"
"316061440","Caloundra Hinterland"
